"id" "monthlySpend" "avgPrice" "age" "female" "enrollPromoValue"
763617 2.25 5.31 46 0 7
686051 13.49 5.79 28 1 7
489635 34.41 4.24 37 0 0
637247 0.9 6.96 44 0 7
208206 8.04 7.25 40 0 3
367521 55.21 4.26 46 1 7
218266 1.53 5.75 25 0 7
863317 19.37 6.94 30 1 3
320047 109.99 5.96 43 1 0
611968 41.55 5.54 20 1 7
866731 26.08 6.73 51 1 0
797630 19.17 6.37 53 0 0
594267 13.06 7.07 22 0 3
220344 5.12 5.52 45 0 5
494172 18.23 5.45 52 1 7
456678 17.87 5.2 18 0 0
534395 1.42 6.23 30 0 7
252240 25.08 4.38 29 1 7
381810 14.88 7.66 54 1 5
850282 144.52 5.84 43 1 0
635027 5.02 4.25 36 0 5
317883 36.48 5.78 39 1 3
458381 306.86 4.49 20 1 0
663310 24.36 5.46 27 1 7
746144 3.8 6.5 35 0 3
460138 3.02 5.59 44 0 7
347729 14.85 5.82 53 0 5
493241 3.95 6.8 35 0 7
272050 18.43 4.46 27 1 5
618815 4.95 6.12 25 0 3
466057 7.41 6.37 48 0 0
747326 49.97 6.31 44 1 3
750667 36.98 5.24 34 1 7
714306 71.11 5.53 25 1 5
402957 42.52 4.29 29 1 7
496514 56.04 6.5 40 1 7
853625 29.01 6.79 47 1 0
197691 67.12 5.22 46 1 3
359483 46.19 6.26 29 1 3
264216 4.36 5.34 51 0 7
809367 55.94 4.94 45 1 5
111481 45.09 7.04 41 1 5
219544 32.41 4.66 54 1 5
641200 79.41 7.29 47 1 0
833573 51.43 4.63 51 1 5
294734 105.49 6.2 43 1 0
328419 4.1 6.21 44 0 7
216682 51.3 4.75 43 1 7
749195 10.72 4.93 28 1 7
474816 47.35 5.37 48 1 7
676289 52.4 7.28 43 1 0
588656 91.85 5.32 32 1 3
869605 9.01 4.54 43 0 3
334603 41.56 4.09 53 0 7
717156 3.22 5.47 52 0 5
583416 8.83 6.15 51 0 7
149629 1.58 7.11 23 0 7
637343 54.69 4.57 48 1 7
194374 93.06 4.71 44 1 3
488495 17.87 6.12 45 1 5
513442 2.38 4.61 41 0 7
800807 6.58 4.53 38 0 5
612785 57.9 4.17 20 1 5
759910 22.24 3.67 33 1 7
479534 10.56 5.71 50 0 0
617840 8.16 6.25 25 0 5
685956 155.9 6.94 28 1 0
414035 18.83 5.19 45 1 7
614877 4.68 4.31 19 0 7
421286 251.35 5.93 34 1 0
868663 29.49 5.73 28 0 7
107987 400 4.55 54 1 0
198406 80.41 5.97 31 1 3
834308 10.73 4.56 37 0 7
897920 99.24 4.42 41 1 7
520069 358.07 8.09 50 1 0
877099 91.25 6.86 31 1 0
726776 37 4.24 49 1 3
142686 72 6.46 50 1 0
696128 22.35 5.56 54 1 5
229629 33.24 5.45 37 1 7
473184 44.48 5.61 40 1 7
493784 9.27 5.06 26 0 5
752746 52.65 6.13 43 1 3
585839 50.68 6.92 52 1 3
441904 21.12 5.41 40 0 0
691995 5.29 5.68 21 0 5
558699 2.52 5.52 32 0 5
414805 171.17 4.84 42 1 3
169255 147.48 4.59 23 1 3
336907 340.32 7.3 39 1 3
178052 73.53 5 42 1 0
195928 23.59 4.98 39 1 7
356612 50.68 3.54 49 1 5
829530 13.38 4.56 51 1 7
387006 13.77 6.28 20 0 7
807647 7.67 4.24 22 0 3
789131 5.09 5.83 49 0 3
862104 4.23 6.4 44 0 7
381845 400 5.09 36 1 7
592556 64.72 5.58 31 0 0
345078 122.66 4.29 49 1 3
136744 395.95 3.72 35 1 5
265859 3.76 5.49 37 0 7
332637 8.44 3.76 54 0 5
110657 14.32 5.34 22 1 7
778118 238.48 5.42 42 1 3
542237 12.6 7.13 44 0 0
312932 22.92 3.87 46 0 3
562250 377.35 2.8 20 1 0
269365 9.18 5.13 41 0 5
159785 34.06 5.89 23 1 3
824582 26.92 6.69 29 1 5
867510 45.48 6.36 40 1 3
899899 1.72 5.1 38 0 7
144543 176.37 4.77 48 1 3
133925 75.77 3.56 31 1 7
399854 7.71 5.23 43 0 3
732568 19.09 5.63 21 0 5
361593 3.35 5.63 52 0 7
383391 10.16 6.14 37 1 7
711776 35.09 6.75 24 1 7
379105 2.5 5.64 35 0 7
290186 49.26 5.52 46 1 7
336913 3.76 7.96 48 0 0
849123 97.4 4.86 27 1 3
771688 36.43 6.08 43 1 5
717322 1.57 6.49 27 0 3
244134 5.1 5.58 47 0 7
794261 142.54 5.36 23 1 5
732369 45.07 4.8 52 0 3
894534 4.02 6.52 22 0 7
412094 11.14 4.17 48 0 7
158842 5.34 4.94 32 0 5
394106 4.62 6.62 48 0 3
778971 37.42 4.43 21 1 7
310531 51.55 4.49 42 1 5
612699 180.58 4.07 47 1 3
154915 68.56 4.29 30 1 7
872236 23.92 7.47 21 1 3
160484 33.52 6.19 38 1 5
139229 39.56 6.36 40 1 3
371885 94.3 5.16 21 1 7
511638 13.78 5.59 51 1 5
462474 26.13 6.39 48 0 0
228747 80.16 5.38 47 1 3
537544 9.26 5.46 31 0 7
798139 15.12 2.99 51 0 7
156109 7.45 5.59 31 1 7
547107 68.35 5.88 29 1 3
587461 10.9 5.34 22 0 3
238792 5.37 5.64 21 0 7
548597 4.79 5.42 48 0 3
442439 347.44 4.92 49 1 0
235142 3.11 6.71 39 0 3
602125 20.81 5.83 19 1 7
362101 5.07 6.2 31 0 3
460436 110.46 5.17 23 1 0
709125 18.39 5.79 39 1 5
283028 75.11 6.46 20 1 0
775664 15.08 3.87 36 0 3
604020 24.02 5.07 26 1 5
253530 5.55 6 52 0 3
336699 13.27 5.59 39 0 0
582944 2.35 6.15 44 0 7
211982 47.57 7.25 41 1 0
847196 47.12 5.14 41 1 7
244377 11.87 8.56 48 0 0
390412 23.03 7.8 36 1 3
614934 25.26 5.58 23 1 5
752646 28.66 6.41 38 1 3
681628 3.68 7.34 54 0 5
618736 45.46 5.3 43 1 7
438609 2.35 6.74 38 0 7
367773 49.96 5.71 21 1 5
633587 7.17 7.85 33 0 0
157296 8.76 4.73 36 1 7
751188 99.34 5.75 37 1 0
533656 6.62 6.77 21 0 3
761158 59.83 6.32 48 1 3
563995 4.07 5.96 31 1 7
679359 1.32 5.82 49 0 7
746662 6.54 4.73 37 0 7
123589 333.84 5.28 48 1 3
807614 33.47 4.86 29 1 5
446776 15.17 6.62 52 1 5
468448 25.04 4.1 51 0 3
717975 8.02 5.88 30 0 3
310094 42.22 6.78 31 1 5
362639 17.1 4.67 32 0 5
317327 217.31 4.2 42 1 7
611577 9.41 6.72 46 0 7
498287 21.81 6.88 21 0 0
488006 42.48 7.96 50 1 0
782333 1.92 4.77 25 0 7
610017 5.11 6.37 45 1 7
589145 26.51 3.6 25 0 3
605774 9.74 5.36 28 0 0
215150 22.95 4.76 45 0 3
216707 16.23 5.19 51 1 7
526307 21.34 4.62 34 0 0
342414 39.6 6.19 31 1 7
212591 39.35 4.95 23 1 7
132203 15.62 4.43 52 0 7
524503 67.75 4.93 30 1 5
490201 61.76 3.85 51 1 3
734027 26.1 5.77 38 0 3
747285 30.41 5.63 18 0 0
468176 26.84 5.51 49 1 3
541623 158.31 4.43 28 1 0
333528 167.38 4.67 40 1 0
381513 6.14 6.07 30 0 3
129308 15.22 5.84 33 0 5
507025 0.79 8.52 40 0 7
646646 4.2 6.78 37 1 7
335772 10.52 5.49 53 1 5
471353 4.64 5.15 24 0 5
332263 217.24 5.19 42 1 0
613403 62.34 6.05 41 1 3
400737 2.32 6.5 27 0 7
705734 20.63 5.45 32 0 0
266047 2.39 6.11 42 0 3
851100 5.72 6.24 33 0 7
342329 54.66 5.39 23 1 7
852845 34.25 6.32 34 1 3
823201 17.94 6.97 43 1 3
463885 7.18 6.04 19 1 7
464404 13.4 3.32 35 0 5
615769 5.56 5.45 30 0 5
464061 83.15 5.66 25 1 5
486632 12.24 6.23 38 0 0
249981 270.6 5.3 19 1 3
168979 81.08 5.49 40 0 0
240322 12.15 6.06 54 0 5
203941 4.09 6.28 28 1 7
841991 29.27 5.12 26 1 7
578582 4.85 3.58 38 0 7
546302 132.25 4.87 51 1 3
189565 12.57 4.08 45 0 5
228011 2.24 5.8 34 0 7
242214 55.57 5.45 34 1 7
185318 82.94 6.18 54 1 0
464531 50.9 4.82 22 1 3
136252 47.8 6.66 20 1 0
500567 247.71 3.87 26 1 3
185990 5.33 4.47 41 0 7
258746 158.44 4.75 39 1 0
231620 3.27 5.56 25 0 5
775458 3.34 6.91 34 0 3
626860 6.44 6.19 52 0 7
472367 71.86 6.53 39 1 0
389468 7.02 3.6 44 0 7
376067 14.18 6.05 18 1 5
577328 2.95 5.03 23 0 5
661931 231.15 4.47 47 1 5
339443 11.51 5.08 32 0 0
736968 106.7 5.28 25 1 7
744841 2.29 9 33 0 3
146058 15.9 4.04 42 0 5
377655 11.05 5.55 27 0 3
773796 92.36 5.33 44 1 0
333227 1.92 5.96 45 0 7
843618 26.4 6.92 54 1 0
264038 58.56 7 54 1 0
411101 74.82 5.25 55 1 5
585055 6.04 5.41 37 0 7
224105 141.6 6.97 18 1 7
489775 4.5 4.13 29 0 7
458747 61.79 5.11 27 1 3
660592 84.28 4.68 51 1 0
175459 3.42 6.04 25 0 7
666477 41.3 6.53 53 1 3
236259 7.32 5.83 46 0 3
169841 1.01 7.1 19 0 5
789794 32.62 5.45 29 0 7
244797 45.16 7.91 31 1 0
212844 1.1 4.41 44 0 7
849047 260.29 5.62 23 1 0
750153 7.64 5.45 48 0 0
259554 47.09 6.21 28 1 7
597946 51.86 5 37 0 0
712234 51.94 4.79 54 1 3
580225 10.73 4.34 25 0 3
332838 153.55 3.89 19 1 3
511822 4.45 3.93 36 0 5
533706 89.82 5.91 21 1 3
238755 10.11 6.17 18 1 5
685529 51.09 5.81 42 1 3
644896 400 3.95 21 1 5
109372 5.31 6.69 36 0 5
242075 19.15 5.79 19 1 3
702244 57.99 4.42 25 1 5
400821 9.1 5.16 43 0 7
391532 77.41 6.05 40 1 7
691075 10.51 6.41 52 1 7
879403 14.05 6.05 43 0 3
789461 93.62 5.74 30 1 7
511965 9.49 5.79 34 0 7
600604 54.07 5.43 53 1 7
440604 5.06 6.31 27 1 5
476504 55.52 8.43 51 1 3
607529 1.96 5.11 34 0 7
692858 71.9 5.07 28 1 5
446133 11.74 6.2 28 1 5
846090 10.55 5.49 53 0 3
425424 33.68 5.7 39 0 0
732724 17.51 5.48 22 1 7
390422 35.71 5.99 43 1 7
308899 13.43 6.22 31 1 3
205867 4.99 6.25 44 0 5
561685 51.04 5.03 47 0 0
409093 30.16 5.3 27 1 5
786753 8.13 6.93 20 0 7
347333 14.17 5.96 41 1 7
294241 56.33 4.8 42 1 3
839128 57.26 4.93 49 1 3
482891 4.06 5.91 20 0 7
567662 58.51 6.51 29 0 0
152221 24.37 6.72 44 1 3
665001 6.62 5.88 25 0 7
365830 33.23 6.6 18 1 3
724370 155.05 3.99 55 1 3
557543 20.53 6.71 34 1 5
277323 3.54 7.59 45 0 7
443957 49.55 4.97 52 1 3
731310 20.95 3.86 55 0 3
644163 21.39 5.69 51 1 5
789630 57.65 5.78 39 1 5
391871 23.4 6.34 35 0 0
853594 17.91 5.09 52 0 7
145011 17.08 5.43 38 1 7
304382 129.28 5.85 53 1 0
808038 113.71 4.31 33 1 0
219681 36.87 6.56 51 1 3
275598 53.91 5.86 45 1 3
378392 26.2 5.26 33 1 3
385830 4.59 6.37 44 0 3
393712 4.89 5.65 43 0 3
525517 1.7 6.22 21 0 5
308628 16.83 6.85 30 1 5
708796 102.51 4.67 54 1 3
177192 8.95 5.16 28 0 7
298304 36.91 5.94 35 1 7
152637 6.08 4.87 34 0 5
763881 21.42 6.4 33 0 0
586894 61.19 8.06 52 1 0
418541 57.86 5.65 28 1 3
752626 3.52 5.08 32 0 7
233060 34.35 7.57 36 1 5
658540 83.96 4.31 54 1 7
677147 11.73 6.98 53 1 3
745330 8.97 4.63 40 0 7
420270 13.68 4.94 51 0 5
260214 2.42 6.12 50 0 5
323941 22.44 6.88 23 0 0
479136 22.64 5.96 52 1 5
554015 52.69 4.74 48 1 3
241935 7.8 5.89 38 0 7
828338 5.28 6.78 40 0 3
892681 6.39 6.67 43 0 3
299778 70.26 6.36 45 1 0
595332 13.48 5.96 28 1 3
480199 3.85 4.22 26 0 7
401442 7.79 8.19 52 0 0
357746 52.84 5.07 32 1 5
159391 167.52 6.18 47 1 0
212371 134.71 5.89 50 1 0
883482 8.6 7.74 34 0 0
740350 3.04 5.22 28 0 7
405260 25.57 6.31 39 1 7
433575 162.83 4.92 28 1 3
560344 1.08 6.38 25 0 7
308658 6.65 8.83 52 0 0
793044 2.4 4.73 42 0 5
734832 15.98 5.64 48 0 5
667314 3.68 5.05 50 0 7
456557 3.47 5.7 52 0 7
162134 7.4 5.17 26 0 3
527575 2.15 5.72 44 0 7
814742 189.23 5.06 52 1 5
533889 71.29 4.6 38 1 3
351633 52.61 7.96 39 1 3
837074 10.54 5.83 29 1 5
374916 88.71 4.53 50 1 5
617317 111.74 5.2 53 1 5
584489 5.26 4.71 29 0 5
625393 400 6.2 36 1 0
815758 9.99 5.07 34 0 0
102811 180.38 4.85 35 1 0
587261 6.67 5.04 53 0 5
638889 19.45 5.63 30 0 3
328836 80.71 7.61 52 1 0
715311 2.32 5 21 0 7
806776 87.79 4.17 42 1 3
692706 136.23 5.55 47 1 3
545550 40.88 5.57 54 1 5
806109 158.69 4.74 26 1 0
518075 63.43 5.06 41 1 5
795955 31.37 4.14 41 0 7
624861 73.29 6.58 46 1 5
138088 31.28 7.47 27 1 7
507811 99.05 6.36 49 1 0
568020 128.76 6.36 31 1 3
243566 84.1 5.25 36 1 0
798528 40.2 5.98 27 1 3
575580 35 6.2 55 1 7
455762 33.54 4.63 33 0 5
426347 65.81 5.18 24 1 3
119363 61.51 5.1 33 1 0
611277 61.45 5.46 49 1 7
181537 5.21 6.35 29 0 5
334148 23.3 4.36 28 1 5
591973 58.16 5.78 23 1 7
433759 7.84 6.02 35 0 7
517363 172.54 5.23 21 1 5
810533 25.19 3.96 29 0 5
264771 35.85 5.95 39 1 7
868308 18.25 6.71 54 1 5
447666 38.6 4.9 26 1 5
220725 15.56 5.27 32 1 7
510416 3.36 6.74 49 0 5
377283 58.22 4.58 50 1 3
221177 34.69 4.31 52 1 5
392178 7.9 4.22 25 0 5
186056 3.85 5.91 38 0 5
376721 86.16 5.64 19 1 5
834254 40.09 4.31 51 1 5
341575 16.96 6.39 44 1 7
190220 64.15 7.17 42 1 3
354774 18.9 5.16 30 1 5
571792 45.91 3.55 35 1 7
545021 33.01 6.7 43 1 5
888029 47.12 6.4 35 1 3
109453 111.31 6 27 1 3
567695 63.12 5.63 28 1 0
644466 11.64 6.52 41 1 5
784982 17.95 4.56 52 1 5
258334 15.29 5.22 19 0 7
461949 26.12 6.62 43 1 5
660121 162.96 5.49 42 1 5
545616 12.58 4.44 40 0 5
738276 10.36 4.85 25 0 3
506250 6.22 5.74 50 0 5
208798 63.77 5.87 47 1 7
597883 139.44 5.6 31 1 3
586622 101.06 6.5 29 1 7
507541 6.69 7.44 48 0 3
871760 23.4 3.81 43 0 0
711429 16.02 5.45 37 0 0
249396 150.08 5.54 55 1 3
550629 155.49 6.56 25 1 3
769278 13.83 4.89 47 1 5
140781 400 4.98 35 1 0
649367 13.86 6.1 19 0 0
546498 8.77 5.51 24 1 7
401810 11.57 6.79 31 0 7
290139 11.82 5.95 50 0 3
277152 27.94 6.51 25 1 7
124040 131.89 4.1 37 1 5
645468 1.94 6.06 51 0 7
779023 47.26 5.15 23 0 5
162081 10.58 6.44 27 0 5
587270 20.68 5.17 30 1 7
764955 61.9 6.15 24 1 0
583164 4.69 7.24 43 0 5
235834 21.3 3.87 27 0 7
203283 31.65 5.81 18 1 5
634791 2.85 6.43 34 0 7
243845 65.61 4.17 28 1 7
652731 24.77 7.52 31 1 7
382907 24.91 5.66 44 1 5
193856 32.05 5.76 29 1 3
455220 133.28 5.67 47 1 0
862099 127.86 5.83 27 1 0
430190 7.72 5.64 37 0 3
382821 273.68 3.36 54 1 3
178312 7.84 6.07 41 0 3
512959 45.83 5.17 39 1 3
204393 20.97 5.83 27 0 0
759496 1.42 5.19 36 0 7
696125 13.96 6.96 33 0 0
759263 2.58 4.83 48 0 7
617652 3.46 5.25 55 0 7
120126 24.23 4.64 45 1 5
270154 8.04 5.44 49 0 7
780634 66.58 2.63 47 1 7
815624 3.97 6.7 24 0 3
376793 148.43 5.3 32 1 0
712062 3.53 7.74 23 0 5
319446 36.78 6.33 46 1 0
614494 18.1 6.21 22 1 5
690790 10.6 7.88 49 0 0
539234 40.37 5.88 45 1 3
460023 44.34 5.74 30 1 5
599913 38.6 5.3 21 1 7
851809 1.59 5.7 26 0 7
838327 25.5 6.43 20 1 3
417255 6.2 5.17 33 0 7
478410 3.57 5.63 42 0 7
715392 54.76 6.78 40 1 3
226833 74.89 5.82 42 1 3
317817 44.14 6.95 31 1 5
229895 335.79 5.72 53 1 0
485977 66.91 5.86 40 0 0
664746 64.16 4.97 25 1 3
366702 5.63 5.29 51 0 7
497494 81.76 5.65 34 1 3
667668 1.77 7.8 39 0 3
862158 83.14 3.9 39 1 3
434924 103.15 6.43 19 1 0
624958 153.29 6.58 46 1 0
721350 18.11 4.16 36 1 7
648669 71.77 5.23 43 1 7
233621 75.17 7 40 1 0
500366 14.56 6.03 47 0 5
887661 33.78 5.45 52 0 3
778143 7.54 5.21 51 0 3
232426 41 4.03 49 1 7
408585 16.28 6.39 35 0 7
309014 2.83 6.27 39 0 3
846554 2.98 6.3 27 0 5
168440 9.44 6.73 33 1 5
432157 6.42 6.04 47 0 7
413704 0.48 6.88 31 0 7
595326 33.04 4.82 45 0 3
121140 28.56 5.69 46 1 5
893457 17.94 5.44 31 1 5
360339 8.89 5.44 38 0 3
502488 1.71 4.65 23 0 7
827199 1.01 7.08 31 0 7
467210 61.56 6.47 41 1 3
580869 38.55 6.43 50 1 3
743047 69.4 7.27 20 1 5
487221 14.58 4.52 36 0 3
132251 27.59 4.68 42 1 5
311103 7.13 6.53 51 0 3
414294 8.57 4.7 35 1 7
893567 11.49 6.13 28 0 0
559713 122.7 4.63 50 1 7
567339 25.49 6.29 30 1 7
431601 38.95 8.09 54 1 3
761458 30.02 5.6 52 1 5
520964 61.51 4.32 35 1 7
786825 43.31 7 52 1 3
713250 5.98 5.44 41 0 3
491965 42.04 7.3 24 1 5
441401 1.13 6.09 32 0 7
172091 60.19 5.88 49 1 7
132127 2.45 5.69 40 0 5
430421 1.91 6.75 44 0 3
398308 14.25 5.59 20 0 3
694790 14.9 5.47 48 1 7
746172 2.56 7.06 39 0 7
569215 81.16 6.3 48 1 0
281344 16.72 6.42 36 0 0
695984 137.74 4.74 49 1 0
232023 2.52 5.5 20 0 3
492859 7.28 5.65 33 0 3
135007 3.28 5.23 46 0 5
137548 7.74 7.19 33 1 5
350711 3.9 5.13 53 0 5
396368 3.39 5.18 50 0 5
526224 4.55 7.27 23 0 3
666313 2.05 6.55 28 0 5
259150 1.09 5.79 22 0 7
156533 13.42 6.29 33 0 0
735366 21.83 4.79 39 1 5
671171 4.83 4.69 39 0 5
365563 31.72 7.73 52 1 0
311072 7.51 5.58 24 0 3
330654 7.48 5.54 49 1 7
726506 20.55 6.59 20 1 3
787305 4.63 6.44 35 1 7
851368 18.08 5.44 48 0 0
895741 9.09 7.1 27 0 0
457101 20.35 6.09 36 0 3
326416 9.38 6.18 25 0 0
352995 21.66 5.49 43 0 0
333982 21.55 5.91 35 1 7
781745 78.23 5.61 26 1 3
444896 4.81 5.36 28 0 5
342394 5.58 7.08 35 1 5
597901 49.95 4.14 32 1 5
641808 33.59 4.73 53 1 7
488862 14.13 6.59 51 0 0
589369 21.82 7.2 53 1 3
861896 400 5.05 34 1 0
256185 13.28 6.64 42 0 3
412370 3.71 5.01 41 0 5
427753 38.14 4.73 29 1 7
209462 111.33 4.81 51 1 5
242828 2.06 7.9 40 0 3
308381 57.35 6.28 35 1 7
237180 19.96 6.74 52 1 7
698778 33.15 4.33 42 1 7
211967 69.97 5.67 52 1 3
494829 8.15 6.8 31 0 3
679901 121.49 4.52 54 1 0
478658 102.7 5.7 53 1 5
809007 1.61 7.07 41 0 7
116848 3.14 5.61 47 0 5
373782 1.63 6.78 32 0 7
732308 8.56 5.99 41 0 5
754510 98.07 5.54 51 1 3
126108 19.48 3.18 46 1 7
824175 240.83 4 22 1 3
821725 35.71 5.27 24 0 7
701223 400 3.23 51 1 0
278055 1.94 5.4 41 0 7
429941 2.83 6.02 22 0 3
732307 20.11 6.45 47 1 5
809060 260.03 6.31 50 1 3
278006 4.92 6.85 49 0 3
331911 9.2 6.49 20 0 7
380666 37.58 5.72 50 1 5
139759 25.85 4.62 40 0 7
219134 8.51 5.94 29 1 5
263877 25.43 5.98 29 1 5
762669 3.83 8.3 29 0 0
130412 67.32 4.48 32 1 3
783643 1.1 5.37 37 0 7
607908 31.51 5.37 45 0 3
832331 4.84 6.26 24 0 5
751875 218.5 5.49 28 1 3
559213 9.33 6.73 45 0 3
884123 26.92 5.12 34 1 3
590695 6.55 8.34 32 1 5
652221 23.94 7.4 49 1 3
487095 15.18 8.52 53 1 0
724998 3.38 6.3 36 0 7
482861 6.11 6.48 55 0 7
637486 67.41 5.31 38 1 0
762620 28.39 6.86 21 0 0
649103 100.66 3.87 31 1 3
411946 3.87 5.39 32 0 7
375983 6.08 5.34 47 0 5
539959 18.56 4.92 34 0 3
256459 51.2 6.29 55 1 7
412087 0.49 6.82 22 0 7
391507 1.36 6.1 18 0 7
106858 40.8 6.14 39 1 3
360005 3.85 3.78 40 0 7
351867 1.64 6.11 34 0 7
798008 211.73 7.24 44 1 3
170290 38.21 6.79 45 1 7
867788 41.25 6.83 22 1 0
200701 4.48 5.52 44 0 5
660577 62.28 6.39 19 1 3
294312 17.97 8.49 38 1 3
734650 22.29 4.43 20 1 5
855202 33.66 6.08 49 1 3
590670 2.39 6.35 27 0 5
627341 68.6 7.8 33 1 0
114475 35.14 7.09 47 1 5
675622 131.23 4.59 19 1 0
139013 251.36 6.42 20 1 0
564378 164.77 4.84 35 1 0
184297 78.96 4.35 32 0 0
714178 102.88 4.52 43 1 7
596411 86.84 2.85 52 1 3
355585 3.92 6.13 36 1 5
266120 23.23 3.84 36 1 7
606840 24.5 5.79 50 0 0
296051 9.26 5.35 25 0 5
156772 8.32 4.6 35 0 5
743629 2.98 4.18 50 0 7
821074 17.75 5.51 34 0 0
281690 54.52 6.64 42 1 7
222158 101.18 3.92 41 0 0
573366 81.18 6.26 46 1 3
550602 47.46 6.11 28 1 0
441445 5.38 6.46 47 0 3
390774 10.02 6.17 30 1 7
250045 10.38 5.35 55 0 3
354418 79.68 6.21 39 1 0
163636 48.11 5.16 31 1 7
347434 54.2 6.56 27 1 7
591595 6.81 4.87 55 0 3
749919 86.45 4.97 42 1 5
523691 37.11 5 37 1 5
870997 14.76 4.64 47 0 3
620412 11.39 5.32 39 0 7
708744 26.34 5.46 51 1 3
187550 4.36 5.83 48 0 3
243306 93.88 4.28 38 0 3
606263 17.51 6.79 53 1 5
102578 63.78 5.79 48 1 3
895537 37.39 6.55 22 1 0
330894 12.29 4.72 32 0 3
437354 21.45 4.55 46 0 7
589457 1.81 4.8 55 0 7
649328 16.78 4.04 24 0 5
310539 176.18 6.29 28 1 0
308938 33.69 5.75 23 1 7
665115 8.62 6.65 44 0 0
317969 1.93 5.4 20 0 7
230081 114.31 4.44 36 1 5
268648 158.13 6.85 41 1 3
652658 4.08 6.98 36 0 0
775289 14.4 6.79 45 1 5
840739 8.26 6.05 46 0 7
794725 7.27 5.67 46 0 7
334135 61.03 7.34 22 1 0
854569 38.83 5.31 39 1 5
162626 22.43 5.67 35 1 7
523459 6.73 6.03 52 0 3
562501 2.45 7.17 53 0 3
194759 31.78 4.37 44 0 0
664457 88.61 5.15 31 1 7
798177 0.95 7.1 23 0 7
363758 47.41 4.39 45 1 7
865643 18.14 7.15 55 1 5
718121 5.35 6.69 31 1 7
562394 38.57 6.65 35 1 0
248695 17.15 6.5 39 0 0
188580 44.56 5.22 52 1 7
113771 6.62 4.48 50 0 7
373256 3.39 7.6 32 0 5
333228 7.8 6.29 36 1 5
427050 49.48 5.89 52 1 7
431445 13.59 5.62 24 1 5
125613 2.42 5.4 18 0 7
304542 14.12 5.35 24 0 5
272186 42.74 5.4 26 1 3
573576 1.26 6.61 52 0 7
151154 7.82 7.79 50 1 7
312407 10.93 4.93 54 0 3
144127 10.83 7.31 36 1 7
717264 40.28 6.93 29 1 5
396830 7.77 6.19 24 0 7
366977 1.88 5.11 26 0 7
826510 1.96 5.39 21 0 7
332252 8.36 5.94 38 0 3
858058 10.53 5.84 48 0 7
710339 150.46 5.38 26 1 0
431550 46.16 7.41 45 1 0
414858 37.51 3.94 52 1 3
690129 285.96 4.98 37 1 3
371998 58.75 5.07 44 1 7
131994 13.43 5.27 43 1 7
835305 11.32 4.97 26 0 5
288879 122.28 4.33 20 1 7
713231 5.27 5.97 22 0 7
278208 41.32 7.87 26 1 0
795983 40.56 5.08 41 1 5
458684 53.76 6.61 44 1 0
574602 17.15 7.43 32 1 5
769782 8.66 6.1 31 0 5
273404 2.31 6.9 19 0 3
717926 206.63 4.08 29 1 0
596102 14.64 5.65 52 1 5
640852 25.09 6.44 19 1 0
637228 3.92 6.33 47 0 7
735125 9.38 3.95 30 0 5
391307 38.55 5.18 48 1 3
